StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:00.744|00:00:01.473|[61.0, 41.0]|[60.0, 44.8]|3478.0|217.0|pass|foot_right|success|1.4130275891989426|1.4565419988334571|61.40032573203501|44.553338819890925|1.392703388563699|1.3352513460740334|60.96425182022658|46.27785647585679|1.0|3.799999999999997
00:00:01.473|00:00:02.612|[60.0, 44.6]|[50.9, 35.5]|5503.0|217.0|pass|foot_right|success|1.3394579509094908|1.395933977570276|60.929139170022744|46.23159093087756|1.5413353052037377|1.5430769959322808|50.92209736450375|54.12079082940308|9.100000000000001|9.100000000000001
00:00:02.612|00:00:03.047|[50.9, 35.5]|[49.4, 39.1]|20169.0|217.0|dribble|foot|success|1.5430769959322808|1.5413353052037377|50.92209736450375|54.12079082940308|1.467921914898833|1.4793256727862338|49.66256135158556|55.833412935266644|1.5|3.6000000000000014
00:00:03.047|00:00:04.666|[49.4, 39.1]|[35.7, 52.7]|20169.0|217.0|pass|foot_left|success|1.4793256727862338|1.467921914898833|49.66256135158556|55.833412935266644|1.0882830317724197|1.3072324432118587|40.301116609840975|71.77868764473199|13.699999999999996|13.600000000000001
00:00:04.666|00:00:05.495|[35.7, 52.7]|[35.2, 53.1]|20125.0|217.0|dribble|foot|success|1.3072324432118587|1.0882830317724197|40.301116609840975|71.77868764473199|1.0736417100132267|1.3036958958332114|40.0480960845831|72.36608321582702|0.5|0.3999999999999986
00:00:05.495|00:00:07.052|[35.2, 53.1]|[34.2, 33.0]|20125.0|217.0|pass|foot_right|success|1.3036958958332114|1.0736417100132267|40.0480960845831|72.36608321582702|1.5415648894226763|1.5566729721423507|34.21461675950792|70.80706179471083|1.0|20.1
00:00:07.052|00:00:11.349|[34.2, 33.0]|[42.9, 29.6]|5213.0|217.0|dribble|foot|success|1.5566729721423507|1.5415648894226763|34.21461675950792|70.80706179471083|1.468589608687643|1.5000610752682795|43.125050724607846|62.25568247156239|8.699999999999996|3.3999999999999986
00:00:11.349|00:00:12.775|[42.9, 29.6]|[43.5, 60.1]|5213.0|217.0|pass|foot_right|success|1.5000610752682795|1.468589608687643|43.125050724607846|62.25568247156239|1.0303768265243125|1.169442261600048|50.72928148515411|66.809131112446|0.6000000000000014|30.5
00:00:12.775|00:00:18.728|[43.5, 60.1]|[72.3, 60.7]|20125.0|217.0|dribble|foot|success|1.169442261600048|1.0303768265243125|50.72928148515411|66.809131112446|1.2170370040945429|0.8860668155552771|77.07256321156058|42.21587379173858|28.799999999999997|0.6000000000000014
00:00:18.728|00:00:19.913|[72.3, 60.7]|[78.5, 48.9]|20125.0|217.0|pass|foot_right|success|0.8860668155552771|1.2170370040945429|77.07256321156058|42.21587379173858|1.3832188117997886|1.0585860458407794|79.90156444025361|30.40164469235176|6.200000000000003|11.800000000000004
