id|name|age|country|value
26695|Marc Valiente Hernández|36|Spain|-
19396|Lluis Sastre Reus|37|Spain|-
25911|Óscar Javier González Marcos|41|Spain|-
27311|Valdet Skënder Rama|36|Albania|-
6879|Alberto Bueno Calvo|35|Spain|-
10755|Jonathan Viera Ramos|34|Spain|€1.50m
5691|Johan Andrés Mojica Palacio|31|Colombia|€3.00m
26848|Roberto Trashorras Gayoso|42|Spain|-
6924|Alejandro Gálvez Jimena|34|Spain|€100k
26607|José Raúl Baena Urdiales|34|Spain|€100k
23811|Alberto Perea Correoso|32|Spain|€1.00m
6914|Roberto Román Triguero|38|Spain|-
6730|Rubén Iván Martínez Andrade|39|Spain|-
6381|Saúl Ñíguez Esclapez|29|Spain|€12.00m
6709|Anaitz Arbilla Zabala|36|Spain|€400k
11298|José Ignacio Martínez García|34|Spain|€800k
11539|Adrián Embarba Blázquez|31|Spain|€2.50m
27190|Joaquín Oscar Larrivey|39|Argentina|€75k
6357|Jonathan dos Santos Ramírez|33|Mexico|€1.00m
26783|Roque Luis Santa Cruz Cantero|42|Paraguay|€250k
25859|Sérgio Paulo Barbosa Valente|43|Portugal|-
6904|Sergio Sánchez Ortega|37|Spain|-
8234|Ignacio Camacho Barnola|33|Spain|-
19431|Fernando Damián Tissone|37|Argentina|-
27184|Marcos Alberto Angeleri|40|Argentina|-
27183|Pablo Javier Pérez|38|Argentina|€100k
6619|Vitorino Gabriel Pacheco Antunes|36|Portugal|€75k
6695|Juan Miguel Jiménez López|30|Spain|€8.00m
27182|Flávio Nunes Ferreira|32|Portugal|-
3659|Wilfredo Daniel Caballero|42|Argentina|-
8000|Bartlomiej Pawłowski|31|Poland|€650k
27181|Pedro Andrés Morales Flores|38|Chile|-
3236|Sergi Darder Moll|29|Spain|€16.00m
4891|Ibrahim Afellay|37|Netherlands|-
20011|Hélder Manuel Marques Postiga|41|Portugal|-
5504|Éver Maximiliano David Banega|35|Argentina|€1.50m
11301|Miguel Alfonso Herrero Javaloyas|35|Spain|€100k
20138|João Pedro da Silva Pereira|39|Portugal|-
6751|Javier Fuego Martínez|39|Spain|-
3253|Adil Rami|37|France|€250k
25144|Diego Alves Carreira|38|Brazil|€150k
26257|Dorlan Mauricio Pabón Ríos|35|Colombia|€550k
5563|José Andrés Guardado Hernández|37|Mexico|€1.50m
19454|Ricardo Miguel Moreira da Costa|42|Portugal|-
18724|Sofiane Feghouli|33|Algeria|€500k
17083|Jonas Gonçalves Oliveira|39|Brazil|-
6595|Daniel Parejo Muñoz|34|Spain|€4.00m
23943|Rubén García Santos|30|Spain|€4.00m
20494|Andreas Ivanschitz|40|Austria|-
27122|Simão Mate|35|Mozambique|-
6608|Nabil El Zhar|37|Morocco|-
26023|Juan Francisco García García|47|Spain|-
27154|Nikolaos Karabelas|38|Greece|-
20539|Loukas Vyntra|42|Greece|-
26012|David Navarro Pedrós|43|Spain|-
6867|Papa Kouly Diop|30|-|€0
5597|Keylor Navas Gamboa|37|Costa Rica|€3.00m
6787|Pedro López Muñoz|40|Spain|-
6611|Ángel Luis Rodríguez Díaz|36|Spain|€600k
12063|Issam El Adoua|37|Morocco|-
25831|Jean Marie Dongou Tsafack|28|Cameroon|€150k
27124|Sérgio da Silva Pinto|43|Germany|-
6925|Jairo Samperio Bustara|30|Spain|€300k
6841|Víctor Machín Pérez|34|Spain|€500k
5470|Ivan Rakitić|35|Croatia|€4.00m
7154|Sebastián Carlos Cristóforo Pepe|30|Uruguay|€800k
6401|Kevin Gameiro|36|France|€1.20m
6861|Juan Torres Ruiz|34|Spain|-
27111|António Alberto Bastos Pimparel|41|Portugal|-
6672|Jorge Andújar Moreno|36|Spain|€300k
3515|Alberto Moreno Pérez|31|Spain|€2.00m
26790|Piotr Trochowski|39|Germany|-
15962|Marko Marin|34|Germany|-
27189|Bryan Martín Rabello Mella|29|Chile|€400k
26005|José Manuel Pinto Colorado|48|Spain|-
6805|Hugo Mallo Novegil|32|Spain|€2.00m
19668|Augusto Matías Fernández|37|Argentina|-
26788|Jon Aurtenetxe Borde|31|Spain|€50k
7105|Fabián Ariel Orellana Valenzuela|37|Chile|€200k
6594|Santiago Mina Lorenzo|28|Spain|€2.00m
27052|Lévy Clément Madinda|31|Gabon|€175k
27200|Alejandro López Sánchez|35|Spain|€200k
6802|Jonathan Castro Otto|29|Spain|€13.00m
10612|Yoel Rodríguez Oterino|35|Spain|€600k
6890|Andreu Fontàs Prat|34|Spain|€450k
26573|Íñigo López Montaña|41|Spain|-
26617|Mario Bermejo Castanedo|45|Spain|-
25986|Borja Oubiña Meléndez|41|Spain|-
20016|Kléper Laveran Lima Ferreira|30|-|€0
6768|Diego López Rodríguez|42|Spain|€300k
6671|Asier Illarramendi Andonegi|33|Spain|€2.00m
3990|Jesé Rodríguez Ruiz|30|Spain|€900k
20133|Xabier Alonso Olano|42|Spain|-
6763|Pablo Daniel Piatti|34|Argentina|€400k
6402|Francisco Alcácer García|30|Spain|€7.00m
15651|Juan Bernat Velasco|30|Spain|€10.00m
3272|Oriol Romeu Vidal|32|Spain|€5.00m
10609|Jérémy Mathieu|40|France|-
6663|Antonio Barragán Fernández|36|Spain|-
27317|Eduardo Jesús Vargas Rojas|34|Chile|€1.20m
6728|Federico Nicolás Cartabia|30|Argentina|€2.50m
5688|Carlos Arturo Bacca Ahumada|37|Colombia|€450k
3497|Vicente Iborra De La Fuente|35|Spain|€600k
6349|Federico Julián Fazio|36|Argentina|€400k
6825|Daniel Filipe Martins Carriço|35|Portugal|-
7909|Nicolás Martín Pareja|39|Argentina|-
5186|Denis Cheryshev|32|Russia|€1.00m
5543|Haris Seferović|31|Switzerland|€4.00m
23796|Marco Sangalli Fuentes|30|-|€0
6674|Alberto De La Bella Madureño|38|Spain|-
24042|Javier Ros Añón|33|Spain|€150k
7321|Liassine Cadamuro-Bentaïba|35|Algeria|-
6677|Imanol Agirretxe Arruti|36|Spain|-
6998|Rafael Alcântara do Nascimento|30|Brazil|€4.00m
6724|Manuel Agudo Durán|37|Spain|-
6707|Charles Días Barbosa de Oliveira|30|-|€0
27194|Antonio Rodríguez Dovale|33|Spain|-
27148|Abraham González Casanova|38|Spain|-
6767|Sergio García De La Fuente|40|Spain|-
26775|Thievy Guivane Bifouma Koulossa|31|Congo|€200k
26667|Raúl Rodríguez Navarro|36|Spain|-
6754|David López Silva|34|Spain|€3.00m
6758|Víctor Sánchez Mata|36|Spain|-
10731|Gabriel Andrei Torje|34|Romania|€150k
6777|Sidnei Rechel da Silva Júnior|34|Brazil|€250k
4741|Juan Rafael Fuentes Hernández|33|Spain|-
6706|Francisco Casilla Cortés|37|Spain|€300k
5573|Héctor Alfredo Moreno Herrera|35|Mexico|€1.00m
8817|Jhon Andrés Córdoba Copete|30|Colombia|€12.00m
27147|Manuel Lanzarote Bruno|39|Spain|-
26248|David Barral Torres|40|Spain|-
24860|Héctor Rodas Ramírez|35|Spain|-
27123|Jordi Xumetra Feliu|38|Spain|-
26026|Miguel Pallardó González|37|Spain|-
6599|Rubén Salvador Pérez Del Mármol|34|Spain|€800k
6627|Damián Nicolás Suárez Suárez|35|Uruguay|€1.00m
6800|Carles Gil de Pareja Vicent|31|Spain|€5.00m
27207|Manuel Herrera Yagüe|42|Spain|€50k
6702|David Rodríguez Lombán|36|Spain|-
24783|Javier Márquez Moreno|37|Spain|-
5685|Carlos Alberto Sánchez Moreno|37|Colombia|€250k
27206|Sergio Pelegrín López|44|Spain|-
16001|Garry Mendes Rodrigues|33|Cape Verde|€1.80m
26238|Domingo Cisma González|41|Spain|-
26102|Ferrán Corominas Telechea|40|Spain|-
25893|Alberto Rivera Pizarro|45|Spain|-
15960|Richmond Yiadom Boakye|30|Ghana|€400k
23825|Fidel Chaves de la Torre|34|Spain|€1.00m
7468|Iago Falqué Silva|30|-|€0
6680|Rubén Rochina Naixes|32|Spain|€700k
26222|José Eduardo Rosa Vale de Castro|30|-|€0
11672|Samuele Longo|31|Italy|€350k
24145|Rodrigo Ríos Lozano|33|Spain|€500k
26435|Fernando Soriano Marco|44|Spain|-
24149|José Antonio García Rabasco|37|Spain|-
26589|Nélson Augusto Tomar Marcos|30|-|€0
25824|Ángel Trujillo Canorea|36|Spain|-
25971|Esteban Andrés Suárez|48|Spain|-
7022|Jesús Joaquín Fernández Sáez de la Torre|30|Spain|€6.00m
24075|Christian Fernández Salas|38|Spain|-
26494|Hernán Darío Pellerano|39|Argentina|€25k
27247|Marcos Tébar Ramiro|37|Spain|-
6400|Aleix Vidal Parreu|34|Spain|€1.00m
24127|Ramon Olamilekan Azeez|31|Nigeria|-
27246|Sebastián Dubarbier|37|Argentina|-
18948|Hélder Jorge Leal Rodrigues Barbosa|36|Portugal|-
3606|Ander Herrera Agüera|34|Spain|€2.50m
6842|Iker Muniain Goñi|30|Spain|€9.00m
10753|Erik Morán Arribas|32|Spain|€400k
6388|Ander Iturraspe Derteano|34|Spain|-
6390|Markel Susaeta Laskurain|36|Spain|-
6649|Óscar de Marcos Arana|34|Spain|€1.80m
6394|Aritz Aduriz Zubeldia|42|Spain|-
6789|Mikel Balenziaga Oruesagasti|35|Spain|€400k
4353|Aymeric Laporte|29|Spain|€25.00m
6389|Mikel San José Domínguez|34|Spain|-
6576|Gorka Iraizoz Moreno|42|Spain|-
6656|Mikel Rico Moreno|39|Spain|€200k
6396|Beñat Etxebarria Urkiaga|36|Spain|-
26619|Gaizka Toquero Pinedo|39|Spain|-
27516|Rafael Ramos Lozano|41|Spain|-
27458|Jonathan Sundy Zongo|34|Burkina Faso|-
27515|Marco Natanel Torsiglieri|35|Argentina|-
5987|Giovani dos Santos Ramírez|30|-|€0
23865|Jérémy Perbet|39|France|-
22819|Bruno Soriano Llido|39|Spain|-
27155|Bojan Jokić|37|Slovenia|-
6771|Manuel Trigueros Muñoz|32|Spain|€2.50m
25921|Rubén Gracia Calmache|42|Spain|-
6622|Tomás Pina Isla|36|Spain|€250k
6746|Gabriel Armando de Abreu|33|Brazil|€2.50m
6772|Mario Gaspar Pérez Martínez|33|Spain|€1.00m
7034|Mateo Pablo Musacchio|33|Argentina|-
6755|Sergio Asenjo Andrés|34|Spain|€700k
23804|Jonathan Pereira Rodríguez|36|Spain|-
27153|Javier Ignacio Aquino Carmona|33|Mexico|€1.80m
23930|Ikechukwu Uche|39|Nigeria|-
6745|Mehdi Lacen|39|Algeria|-
26652|Adrián Colunga Pérez|39|Spain|-
25881|Juan Antonio Rodríguez Villamuela|41|Spain|-
26020|Ángel Lafita Castillo|39|Spain|-
27091|Jorge Sammir Cruz Campos|30|-|€0
26195|Juan Valera Espín|38|Spain|-
6614|Alexis Ruano Delgado|38|Spain|-
6718|Sergio Escudero Palomo|34|Spain|€1.50m
24614|Rafael López Gómez|38|Spain|-
6720|Pablo Sarabia García|31|Spain|€14.00m
26849|Júlio César Jacobi|37|Brazil|€50k
24580|Jaime Gavilán Martínez|38|Spain|-
6733|Pedro Mosquera Parada|35|Spain|€500k
16478|Miguel Marcos Madera|38|Spain|-
26686|Jordi Codina Rodríguez|41|Spain|-
26723|Álvaro Cejudo Carmona|39|Spain|-
26611|Emiliano Daniel Armenteros|37|Argentina|-
27089|Raoul Cédric Loé|34|Cameroon|€100k
16250|Cristian Lobato Villegas|34|Spain|-
