id|name|position|id_club|date_nasc|nationality|market_value|assist_avg|goals_avg|actions_avg|actions_value_avg|rating_avg
5463|Luka Modrić|Right Center Midfield|220|01/01/2000|None|None|0.14925373134328357|0.13432835820895522|131.955223880597|0.0034747291143370183|0.45850865820676984
19677|Karim Benzema|Center Forward|220|01/01/2000|None|None|0.32727272727272727|0.6363636363636364|59.14545454545455|0.016740751560162456|0.9901393604583358
5207|Cristiano Ronaldo dos Santos Aveiro|Left Wing|220|01/01/2000|None|None|0.2857142857142857|0.7714285714285715|70.68571428571428|0.015114131183289805|1.068353158498828
6391|Raúl García Escudero|Right Midfield|212|01/01/2000|None|None|0.09259259259259259|0.16666666666666666|63.851851851851855|0.005750809680812718|0.36719984776744913
2995|Ángel Fabián Di María Hernández|Left Center Midfield|220|01/01/2000|None|None|0.37209302325581395|0.2558139534883721|104.48837209302326|0.006138244350091444|0.6413751596502525
5201|Sergio Ramos García|Left Center Back|220|01/01/2000|None|None|0.08928571428571429|0.17857142857142858|101.55357142857143|0.004277986274199831|0.4344447846674007
5721|Daniel Carvajal Ramos|Right Back|220|01/01/2000|None|None|0.15|0.0|106.05|0.0023310479774225896|0.24720763800566564
6320|Filipe Luís Kasmirski|Left Back|212|01/01/2000|None|None|0.061224489795918366|0.02040816326530612|118.26530612244898|0.0029253593595307778|0.3459685201730787
6399|Gareth Frank Bale|Right Wing|220|01/01/2000|None|None|0.3902439024390244|0.5853658536585366|66.41463414634147|0.0103261305138745|0.6858061802263479
5485|Raphaël Varane|Right Center Back|220|01/01/2000|None|None|0.0|0.017857142857142856|89.80357142857143|0.0023761996051469203|0.21339121096935468
19047|Fábio Alexandre da Silva Coentrão|Left Back|220|01/01/2000|None|None|0.16666666666666666|0.16666666666666666|81.5|0.004747651010597723|0.38693355736371443
5566|Sami Khedira|Center Defensive Midfield|220|01/01/2000|None|None|0.1935483870967742|0.1935483870967742|72.12903225806451|0.0038240309686144833|0.27582365309103174
12737|David Villa Sánchez|Left Center Forward|212|01/01/2000|None|None|0.2727272727272727|0.42857142857142855|52.45454545454545|0.010519447978341413|0.5517928621366359
6384|Gabriel Fernández Arenas|Right Defensive Midfield|212|01/01/2000|None|None|0.05454545454545454|0.03636363636363636|108.85454545454546|0.003848243881559617|0.41889883852540777
5198|Diego da Silva Costa|Right Center Forward|212|01/01/2000|None|None|0.2|0.35555555555555557|63.355555555555554|0.011435239571232719|0.7244859559463218
20669|Tiago Cardoso Mendes|Left Defensive Midfield|212|01/01/2000|None|None|0.08333333333333333|0.041666666666666664|90.25|0.0027468110783199413|0.2478996998183747
5199|Jorge Resurrección Merodio|Left Midfield|212|01/01/2000|None|None|0.13846153846153847|0.07692307692307693|117.58461538461539|0.003653909041145927|0.42964348925351264
5249|Diego Roberto Godín Leal|Left Center Back|212|01/01/2000|None|None|0.017543859649122806|0.05263157894736842|68.96491228070175|0.004115504257752748|0.2838253901267729
5551|João Miranda de Souza Filho|Right Center Back|212|01/01/2000|None|None|0.023255813953488372|0.023255813953488372|89.25581395348837|0.0034887096457834155|0.31138761908178486
6375|Juan Francisco Torres Belén|Right Back|212|01/01/2000|None|None|0.057692307692307696|0.019230769230769232|81.32692307692308|0.0034211031353956443|0.2782277915305419
3509|Thibaut Courtois|Goalkeeper|212|01/01/2000|None|None|0.0|0.0|45.142857142857146|0.01607412012406517|0.725631708457799
11179|Iker Casillas Fernández|Goalkeeper|220|01/01/2000|None|None|0.0|0.0|41.53333333333333|0.016517207086064637|0.6860146676412179
6735|Adrián López Álvarez|Right Center Forward|212|01/01/2000|None|None|0.16666666666666666|0.2|44.3|0.010491913779220133|0.46479178041945185
5552|Marcelo Vieira da Silva Júnior|Left Back|220|01/01/2000|None|None|0.12962962962962962|0.05555555555555555|124.42592592592592|0.002754548603102614|0.3427372604490086
4926|Francisco Román Alarcón Suárez|Center Defensive Midfield|220|01/01/2000|None|None|0.16326530612244897|0.08163265306122448|101.16326530612245|0.0029462649927767775|0.2980537871264181
20883|José Ernesto Sosa|Right Midfield|212|01/01/2000|None|None|0.0|0.0|24.0|0.0033255642777975784|0.07981354266714188
3477|Álvaro Borja Morata Martín|Center Forward|220|01/01/2000|None|None|0.21568627450980393|0.27450980392156865|38.96078431372549|0.008706554996501976|0.33921421133430246
20005|Toby Alderweireld|Left Back|212|01/01/2000|None|None|0.038461538461538464|0.07692307692307693|118.46153846153847|0.003205014821900839|0.37967098659440707
5560|Carlos Alberto Vela Garrido|Center Forward|210|01/01/2000|None|None|0.12244897959183673|0.14285714285714285|73.73469387755102|0.00563114479585901|0.4152107377028286
6633|Markel Bergara Larrañaga|Right Defensive Midfield|210|01/01/2000|None|None|0.034482758620689655|0.034482758620689655|55.13793103448276|0.0027547111748138764|0.1518890747768065
6705|José Ángel Valdés Díaz|Left Back|210|01/01/2000|None|None|0.0|0.0|78.0|0.003936178687404894|0.30702193761758173
4691|Claudio Andrés Bravo Muñoz|Goalkeeper|210|01/01/2000|None|None|0.0|0.0|48.2625|0.013342035616177837|0.6439199939257828
5503|Lionel Andrés Messi Cuccittini|Center Forward|217|01/01/2000|None|None|0.6123595505617978|0.8370786516853933|131.2453183520599|0.010283806492340635|1.3497014569582273
6605|Joseba Zaldúa Bengoetxea|Right Back|210|01/01/2000|None|None|0.0|0.0|71.25|0.004496971369473472|0.3204092100749849
12191|Gorka Elustondo Urkola|Left Defensive Midfield|210|01/01/2000|None|None|0.0|0.06666666666666667|41.666666666666664|0.004158400277530701|0.1732666782304459
16622|Mikel González de Martín Martínez|Right Center Back|210|01/01/2000|None|None|0.0|0.0|55.666666666666664|0.004083920449270447|0.22733823834272154
5216|Andrés Iniesta Luján|Left Center Midfield|217|01/01/2000|None|None|0.12389380530973451|0.07669616519174041|128.84070796460176|0.002474055532212563|0.31875906631400625
5487|Antoine Griezmann|Left Wing|210|01/01/2000|None|None|0.22794117647058823|0.34558823529411764|74.16176470588235|0.007463112054552353|0.5534775601633458
6673|Sergio Canales Madrazo|Right Wing|210|01/01/2000|None|None|0.0|0.0625|63.53125|0.005686688218744762|0.3612824108971282
5213|Gerard Piqué Bernabéu|Left Center Back|217|01/01/2000|None|None|0.026470588235294117|0.07647058823529412|123.56176470588235|0.002167507516907405|0.2678210538023441
6669|David Zurutuza Veillet|Center Attacking Midfield|210|01/01/2000|None|None|0.16|0.08|76.96|0.002478440053614061|0.19074074652613812
5203|Sergio Busquets i Burgos|Center Defensive Midfield|217|01/01/2000|None|None|0.032418952618453865|0.0199501246882793|133.2643391521197|0.0014105698864316364|0.18797866374319255
6665|Íñigo Martínez Berridi|Left Center Back|210|01/01/2000|None|None|0.0|0.022727272727272728|83.81818181818181|0.002974743738167554|0.2493376115082259
27053|Alexandre Dimitri Song-Billong|Right Center Midfield|217|01/01/2000|None|None|0.0|0.024390243902439025|101.09756097560975|0.0016350382310465587|0.16529837726068258
6593|Martín Montoya Torralbo|Right Back|217|01/01/2000|None|None|0.07272727272727272|0.0|100.38181818181818|0.0018305053138112878|0.1837494515918567
3958|Pedro Eliezer Rodríguez Ledesma|Right Wing|217|01/01/2000|None|None|0.24761904761904763|0.26666666666666666|73.57619047619048|0.004421934688716235|0.32534910893025976
4320|Neymar da Silva Santos Junior|Left Wing|217|01/01/2000|None|None|0.4426229508196721|0.5163934426229508|127.92622950819673|0.006960648635854347|0.8904495349162197
22102|Adriano Correia Claro|Left Back|217|01/01/2000|None|None|0.08928571428571429|0.07142857142857142|102.76785714285714|0.0021156484755328673|0.2174206602980652
7068|Marc Bartra Aregall|Right Center Back|217|01/01/2000|None|None|0.037037037037037035|0.07407407407407407|83.31481481481481|0.0028300707750273206|0.23578682253422065
20176|Víctor Valdés Arribas|Goalkeeper|217|01/01/2000|None|None|0.0|0.0|45.16078431372549|0.013433618435822626|0.606672744733072
3478|Francesc Fàbregas i Soler|Right Center Midfield|217|01/01/2000|None|None|0.25210084033613445|0.20168067226890757|136.35294117647058|0.003629559893772036|0.49490116669197526
3385|Alexis Alejandro Sánchez Sánchez|Right Wing|217|01/01/2000|None|None|0.2857142857142857|0.3904761904761905|84.68571428571428|0.006282898993391905|0.5320717890403888
6690|Xabier Prieto Argarate|Left Wing|210|01/01/2000|None|None|0.1|0.1|66.86|0.004160959031086565|0.27820172081844774
26764|Jon Ansotegi Gorostola|Left Center Back|210|01/01/2000|None|None|0.0|0.0|35.15384615384615|0.005729576077126717|0.20141663594206996
6899|Rubén Pardo Gutiérrez|Right Center Midfield|210|01/01/2000|None|None|0.14285714285714285|0.0|76.11428571428571|0.0041282987205753805|0.31422250833179466
5211|Jordi Alba Ramos|Left Back|217|01/01/2000|None|None|0.16279069767441862|0.046511627906976744|142.22868217054264|0.001576859677489761|0.2242746738972356
20131|Xavier Hernández Creus|Right Center Midfield|217|01/01/2000|None|None|0.1553030303030303|0.11742424242424243|171.02272727272728|0.002552071488323414|0.4364622261280385
4324|Daniel Alves da Silva|Right Back|217|01/01/2000|None|None|0.1829787234042553|0.04680851063829787|155.06382978723406|0.0028856189120356505|0.4474551198067196
5506|Javier Alejandro Mascherano|Left Center Back|217|01/01/2000|None|None|0.005076142131979695|0.005076142131979695|121.19796954314721|0.0021031432809933306|0.2548966953147044
11094|Arda Turan|Left Midfield|212|01/01/2000|None|None|0.04878048780487805|0.0975609756097561|75.29268292682927|0.002444991931603417|0.1840900022648719
6379|Sergi Roberto Carnicer|Right Wing|217|01/01/2000|None|None|0.055865921787709494|0.01675977653631285|103.96648044692738|0.0011711770093107046|0.12176315163839224
5256|Cristian Gabriel Rodríguez Barrotti|Right Center Midfield|212|01/01/2000|None|None|0.0|0.0|27.857142857142858|0.00116432063206363|0.03243464617891541
27243|Oriol Riera Magem|Center Forward|422|01/01/2000|None|None|0.0|0.07407407407407407|28.25925925925926|0.00726130244959942|0.20519902848312435
23991|Miguel Ángel De las Cuevas Barberá|Center Attacking Midfield|422|01/01/2000|None|None|0.0|0.0|52.625|0.0027589303861251403|0.1451887115698355
26254|Manuel Jesús Ortiz Toribio|Right Center Midfield|422|01/01/2000|None|None|0.0|0.0|32.0|0.004677479863958089|0.14967935564665885
26807|Marc Bertrán Vilanova|Right Back|422|01/01/2000|None|None|0.0|0.0|48.8|0.005998585841006562|0.2927309890411202
26189|Sisinio González Martínez|Left Wing|422|01/01/2000|None|None|0.0|0.0|73.25|0.0015446356391661498|0.11314456056892047
20125|Carles Puyol i Saforcada|Left Center Back|217|01/01/2000|None|None|0.016483516483516484|0.054945054945054944|99.50549450549451|0.0026227648322709883|0.26097951160674504
27244|Francisco Andrés Silva Gajardo|Left Center Midfield|422|01/01/2000|None|None|0.0|0.0|75.5|0.002160516486666745|0.16311899474333924
23947|Roberto Torres Morales|Right Wing|422|01/01/2000|None|None|0.0|0.14285714285714285|48.857142857142854|0.007884849052928057|0.3852311965859136
24106|Jordan Lotiès|Left Center Back|422|01/01/2000|None|None|0.0|0.0|48.5|0.005009486636599113|0.242960101875057
25896|Damià Abella Pérez|Left Back|422|01/01/2000|None|None|0.0|0.0|50.0|0.003393213032018618|0.1696606516009309
27242|Manuel Onwu Villafranca|Left Wing|422|01/01/2000|None|None|0.0|0.0|41.0|0.001228359453848405|0.050362737607784605
6869|Alejandro Arribas Garrido|Right Center Back|422|01/01/2000|None|None|0.02564102564102564|0.05128205128205128|64.94871794871794|0.004904581947595834|0.31854630957077557
8697|Andrés Eduardo Fernández Moreno|Goalkeeper|422|01/01/2000|None|None|0.0|0.0|49.02272727272727|0.016203002106282016|0.7943153532556888
25874|Francisco Puñal Martínez|Center Forward|422|01/01/2000|None|None|0.0|0.0|55.0|0.004832634954972187|0.26579492252347026
6658|Cristian Tello Herrera|Right Wing|217|01/01/2000|None|None|0.24285714285714285|0.15714285714285714|49.47142857142857|0.0049484160924426574|0.24480521325898463
