StartTime|EndTime|StartLoc|EndLoc|Player|Team|ActionType|BodyPart|Result|startLocAngAway|startLocAngHome|startLocDistHome|startLocDistAway|endLocAngHome|endLocAngAway|endLocDistHome|endLocDistAway|distCoveredX|distCoveredY
00:00:00.497|00:00:01.143|[61.0, 40.1]|[60.5, 41.0]|9113.0|189.0|pass|foot_right|success|1.4330380578551323|1.4711276743037345|61.30424128883743|44.42082844792519|1.4556060451022126|1.4147714837938452|60.90361237233798|45.047197471096915|0.5|0.8999999999999986
00:00:01.143|00:00:03.558|[60.5, 41.0]|[64.0, 34.6]|3097.0|189.0|dribble|foot|success|1.4147714837938452|1.4556060451022126|60.90361237233798|45.047197471096915|1.5614216014386166|1.5561632249935555|64.00281243820461|41.00439000887588|3.5|6.399999999999999
00:00:03.558|00:00:05.013|[64.0, 34.6]|[47.2, 8.3]|3097.0|189.0|pass|foot_right|success|1.5561632249935555|1.5614216014386166|64.00281243820461|41.00439000887588|1.0721921057208186|1.1524114835733863|53.74318561455024|63.25606690270902|16.799999999999997|26.3
00:00:05.013|00:00:06.575|[47.2, 8.3]|[43.7, 10.1]|8394.0|189.0|dribble|foot|success|1.1524114835733863|1.0721921057208186|53.74318561455024|63.25606690270902|1.0703279904593235|1.199039373604152|49.808633789735694|65.7943766594076|3.5|1.799999999999999
00:00:06.575|00:00:08.007|[43.7, 10.1]|[35.1, 47.9]|8394.0|189.0|pass|foot_right|success|1.199039373604152|1.0703279904593235|49.808633789735694|65.7943766594076|1.1937331234834523|1.3745014819655355|37.75208603507891|71.26864668281559|8.600000000000001|37.8
00:00:08.007|00:00:11.166|[35.1, 47.9]|[35.1, 50.4]|9106.0|189.0|dribble|foot|success|1.3745014819655355|1.1937331234834523|37.75208603507891|71.26864668281559|1.133701367233786|1.3403436689230699|38.74235408438677|71.79811975253949|0.0|2.5
00:00:11.166|00:00:12.768|[35.1, 50.4]|[47.9, 71.5]|9106.0|189.0|pass|foot_left|success|1.3403436689230699|1.133701367233786|38.74235408438677|71.79811975253949|0.9065813116030693|0.9896957654923211|60.833050227651746|68.31295631137625|12.799999999999997|21.1
00:00:12.768|00:00:13.971|[47.9, 71.5]|[44.7, 70.7]|8676.0|189.0|dribble|foot|success|0.9896957654923211|0.9065813116030693|60.833050227651746|68.31295631137625|0.8833636545184006|1.0240600981011077|57.83580206066136|70.59022595232288|3.1999999999999957|0.7999999999999972
00:00:13.971|00:00:14.840|[44.7, 70.7]|[34.1, 58.0]|8676.0|189.0|pass|foot_right|success|1.0240600981011077|0.8833636545184006|57.83580206066136|70.59022595232288|0.9575163404541099|1.2443985730687825|41.69904075635314|74.8519204830444|10.600000000000001|12.700000000000003
00:00:14.840|00:00:17.231|[34.1, 58.0]|[36.8, 56.2]|9106.0|189.0|dribble|foot|success|1.2443985730687825|0.9575163404541099|41.69904075635314|74.8519204830444|1.027982577308376|1.2561003290897648|42.97766861987746|71.7222420173826|2.6999999999999957|1.7999999999999972
