|id|index|period|timestamp|minute|second|possession|duration|type.id|type.name|possession_team.id|possession_team.name|play_pattern.id|play_pattern.name|team.id|team.name|tactics.formation|tactics.lineup|related_events|location|player.id|player.name|position.id|position.name|pass.recipient.id|pass.recipient.name|pass.length|pass.angle|pass.height.id|pass.height.name|pass.end_location|pass.body_part.id|pass.body_part.name|pass.type.id|pass.type.name|carry.end_location|pass.switch|pass.outcome.id|pass.outcome.name|ball_receipt.outcome.id|ball_receipt.outcome.name|under_pressure|duel.type.id|duel.type.name|pass.aerial_won|pass.through_ball|pass.technique.id|pass.technique.name|foul_committed.penalty|foul_committed.type.id|foul_committed.type.name|shot.statsbomb_xg|shot.end_location|shot.technique.id|shot.technique.name|shot.body_part.id|shot.body_part.name|shot.type.id|shot.type.name|shot.outcome.id|shot.outcome.name|goalkeeper.position.id|goalkeeper.position.name|goalkeeper.type.id|goalkeeper.type.name|goalkeeper.outcome.id|goalkeeper.outcome.name|goalkeeper.technique.id|goalkeeper.technique.name|off_camera|clearance.head|clearance.body_part.id|clearance.body_part.name|foul_committed.advantage|foul_won.advantage|interception.outcome.id|interception.outcome.name|ball_recovery.recovery_failure|duel.outcome.id|duel.outcome.name|pass.inswinging|clearance.aerial_won|counterpress|out|dribble.outcome.id|dribble.outcome.name|50_50.outcome.id|50_50.outcome.name|dribble.overrun|clearance.right_foot|shot.freeze_frame|goalkeeper.end_location|pass.straight|pass.cross|pass.assisted_shot_id|pass.shot_assist|shot.key_pass_id|goalkeeper.punched_out|foul_won.defensive|goalkeeper.body_part.id|goalkeeper.body_part.name|pass.outswinging|shot.first_time|pass.cut_back|clearance.left_foot|shot.aerial_won|substitution.outcome.id|substitution.outcome.name|substitution.replacement.id|substitution.replacement.name|pass.deflected|block.deflection|foul_committed.offensive|dribble.nutmeg|block.offensive|clearance.other|pass.goal_assist
0|9ec3d009-c15b-4a8d-be80-57a07f40755a|1|1|00:00:00.000|0|0|1|0.0|35|Starting XI|38|Tottenham Hotspur|1|Regular Play|38|Tottenham Hotspur|4231.0|[{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3082, 'name': 'Harry Winks'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
1|e8bdb5d1-8bcb-4a0d-bfd2-68c18c7f54d0|2|1|00:00:00.000|0|0|1|0.0|35|Starting XI|38|Tottenham Hotspur|1|Regular Play|24|Liverpool|433.0|[{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3664, 'name': 'Trent Alexander-Arnold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 66}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3655, 'name': 'Andrew Robertson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2|00b678a4-3767-4d0b-92e6-9cb4c959d94d|3|1|00:00:00.000|0|0|1|0.0|18|Half Start|38|Tottenham Hotspur|1|Regular Play|24|Liverpool|||['05840f64-0fb7-4f2d-885a-49790d6bd4df']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
3|05840f64-0fb7-4f2d-885a-49790d6bd4df|4|1|00:00:00.000|0|0|1|0.0|18|Half Start|38|Tottenham Hotspur|1|Regular Play|38|Tottenham Hotspur|||['00b678a4-3767-4d0b-92e6-9cb4c959d94d']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
4|b67ef6a9-e877-4dbe-bb03-edcc9d8c7711|5|1|00:00:00.208|0|0|2|1.666205|30|Pass|24|Liverpool|9|From Kick Off|24|Liverpool|||['c7297515-ae92-4fb4-93a8-59745b8dfa90']|[61.0, 40.1]|3532.0|Jordan Brian Henderson|13.0|Right Center Midfield|3502.0|Joël Andre Job Matip|27.252338|3.005404|1.0|Ground Pass|[34.0, 43.8]|40.0|Right Foot|65.0|Kick Off||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
5|c7297515-ae92-4fb4-93a8-59745b8dfa90|6|1|00:00:01.875|0|1|2||42|Ball Receipt*|24|Liverpool|9|From Kick Off|24|Liverpool|||['b67ef6a9-e877-4dbe-bb03-edcc9d8c7711']|[34.0, 43.8]|3502.0|Joël Andre Job Matip|3.0|Right Center Back|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
6|609587a5-193c-469b-be3c-63131c646e59|7|1|00:00:01.875|0|1|2|1.482954|43|Carry|24|Liverpool|9|From Kick Off|24|Liverpool|||['10f8eed9-fa49-4170-9057-d9418e9546ae', 'c7297515-ae92-4fb4-93a8-59745b8dfa90']|[34.0, 43.8]|3502.0|Joël Andre Job Matip|3.0|Right Center Back||||||||||||[36.1, 44.0]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7|10f8eed9-fa49-4170-9057-d9418e9546ae|8|1|00:00:03.358|0|3|2|2.040173|30|Pass|24|Liverpool|9|From Kick Off|24|Liverpool|||['07a666b8-c9d8-4370-bdb7-9075b42be143', '3cb70cbe-9267-43eb-8937-b1f8d00cc902']|[36.1, 44.0]|3502.0|Joël Andre Job Matip|3.0|Right Center Back|3629.0|Sadio Mané|64.73407|-0.6759472|3.0|High Pass|[86.6, 3.5]|40.0|Right Foot||||True|9.0|Incomplete||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
8|07a666b8-c9d8-4370-bdb7-9075b42be143|9|1|00:00:05.398|0|5|2||42|Ball Receipt*|24|Liverpool|9|From Kick Off|24|Liverpool|||['10f8eed9-fa49-4170-9057-d9418e9546ae']|[87.4, 1.6]|3629.0|Sadio Mané|21.0|Left Wing||||||||||||||||9.0|Incomplete||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
9|3cb70cbe-9267-43eb-8937-b1f8d00cc902|10|1|00:00:05.398|0|5|2|2.305768|30|Pass|24|Liverpool|9|From Kick Off|38|Tottenham Hotspur|||['0c45c33c-2e7b-482a-9bda-4d38f0348d3a', '10f8eed9-fa49-4170-9057-d9418e9546ae', '9babcee7-0db0-4cf5-bbd3-b6ca2c0ff6e2']|[33.5, 76.6]|3308.0|Kieran Trippier|2.0|Right Back|10955.0|Harry Kane|23.568836|-0.4712376|3.0|High Pass|[54.5, 65.9]|37.0|Head|66.0|Recovery|||9.0|Incomplete||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
